user_id,email,uname,pword,role,phone_num,is_commuter,shirt_size
1078735,megan.fleck@maine.edu,megan.fleck,password123,coach,2078075832,TRUE,M
5419008,Martin.Sanders@maine.edu,Martin.Sanders,since78,player,001-649-592-6760x66585,False,M
1024005,Denise.Carlson@maine.edu,Denise.Carlson,could827,player,+1-963-947-4616x559,True,M
3559431,Amanda.Cardenas@maine.edu,Amanda.Cardenas,power633,player,+1-640-646-7465,True,L
2527245,Diana.Bailey@maine.edu,Diana.Bailey,listen697,player,341-493-8549,True,M
7307277,Kelly.Greer@maine.edu,Kelly.Greer,our328,player,+1-667-373-2568x30150,True,S
2162703,Steven.Evans@maine.edu,Steven.Evans,response964,player,+1-548-897-0582x25624,False,M
7981075,Adam.Alvarez@maine.edu,Adam.Alvarez,worry683,player,(479)202-8730x427,False,L
4542485,Gina.Alexander@maine.edu,Gina.Alexander,item429,player,7809032558,False,XS
3631129,Christine.Johnson@maine.edu,Christine.Johnson,might496,player,6845906738,True,XL
5718042,Shannon.Jones@maine.edu,Shannon.Jones,live195,player,695.386.9585x5620,False,S
7024666,Christopher.Turner@maine.edu,Christopher.Turner,agreement184,player,509-523-7344,True,XS
4591641,Janice.Taylor@maine.edu,Janice.Taylor,across282,player,(378)994-8860x247,True,XS
3831837,Elizabeth.Gonzalez@maine.edu,Elizabeth.Gonzalez,talk354,player,677-206-6686,False,S
8126493,Regina.Schneider@maine.edu,Regina.Schneider,couple552,player,903-559-6602x6038,True,L
4358174,Kelsey.Torres@maine.edu,Kelsey.Torres,assume902,player,001-282-419-3643x90568,False,XS
8732704,Adam.Keller@maine.edu,Adam.Keller,customer557,player,304.441.6893,True,L
4208676,Martha.Martin@maine.edu,Martha.Martin,series988,player,001-814-774-4055,False,L
2375719,Donna.Clark@maine.edu,Donna.Clark,subject792,player,561.786.4962,True,M
9418793,Nathan.Campbell@maine.edu,Nathan.Campbell,realize812,player,492.742.2001,True,XS
9435182,David.Leach@maine.edu,David.Leach,show831,player,001-703-726-9888x0375,False,XS
9328688,Lori.Ruiz@maine.edu,Lori.Ruiz,if713,player,828.708.2412x042,True,XS
8366128,Christina.Mitchell@maine.edu,Christina.Mitchell,leg25,player,202.792.5696,False,XL
7493682,Philip.Washington@maine.edu,Philip.Washington,top432,player,+1-774-986-7440x94869,False,S
2656307,Anthony.Ross@maine.edu,Anthony.Ross,million438,player,6513109911,True,XL
1804339,Michael.Deleon@maine.edu,Michael.Deleon,charge320,player,7948494552,False,XL
2435127,Zoe.Atkinson@maine.edu,Zoe.Atkinson,high55,player,221.706.5687x705,True,L
9365564,Randy.Hahn@maine.edu,Randy.Hahn,discover591,player,684-361-1818x564,True,XS
8833086,Angel.Wilson@maine.edu,Angel.Wilson,ability435,player,001-678-427-6397,False,M
1785922,Renee.Johnson@maine.edu,Renee.Johnson,front68,player,001-765-367-5984x192,True,XL
3866690,Emily.Smith@maine.edu,Emily.Smith,improve293,player,2068432127,False,S
3706948,Christopher.Scott@maine.edu,Christopher.Scott,avoid887,player,997.903.7025x86345,False,XL
6715464,Abigail.Castro.DVM@maine.edu,Abigail.Castro.DVM,off739,player,+1-987-981-5585,True,M
5685321,Dillon.Giles@maine.edu,Dillon.Giles,two315,player,876-626-5497x10644,True,XS
5292105,Kent.Parrish@maine.edu,Kent.Parrish,bag231,player,470-586-5485x05047,True,XL
3942477,Gregory.Arias@maine.edu,Gregory.Arias,affect169,player,+1-655-865-6716x0206,False,S
1990736,Robert.Maldonado@maine.edu,Robert.Maldonado,pass529,player,973-950-4865,False,XL
4814929,Heather.Roy@maine.edu,Heather.Roy,sister351,player,+1-346-899-3949x898,False,L
7368787,Michael.Reed@maine.edu,Michael.Reed,certain531,player,001-615-938-5611x532,False,S
4784217,Robert.Estrada@maine.edu,Robert.Estrada,audience846,player,865-392-6619x5038,True,XS
4366427,Tony.Owens@maine.edu,Tony.Owens,public797,player,343-314-9518,False,L
9566300,Jeffrey.House@maine.edu,Jeffrey.House,management408,player,(913)458-3858,False,XS
7827549,Kimberly.Williams@maine.edu,Kimberly.Williams,consumer711,player,8305843133,False,XS
6527070,Katie.Mora@maine.edu,Katie.Mora,save251,player,287-913-3510x1002,False,XS
4974684,Dakota.Cruz@maine.edu,Dakota.Cruz,across362,player,8698863953,False,XL
3850337,Mackenzie.Burton@maine.edu,Mackenzie.Burton,song30,player,+1-288-886-3666x54970,True,L
7293025,Joshua.Hudson@maine.edu,Joshua.Hudson,letter772,player,294-938-5558,False,XS
7116899,Victor.Smith@maine.edu,Victor.Smith,material560,player,796-401-8173x302,False,L
4771940,Rachael.Marshall@maine.edu,Rachael.Marshall,worry940,player,752.457.5346,False,L
6346850,Kristi.Wallace@maine.edu,Kristi.Wallace,security871,player,614-802-8616x34526,False,S
4499558,Barbara.Parks@maine.edu,Barbara.Parks,include161,player,001-280-851-2666,True,L
7143531,Lauren.Lowe@maine.edu,Lauren.Lowe,they720,player,+1-340-299-8505x4890,True,S
5560428,Valerie.Martin@maine.edu,Valerie.Martin,a475,player,518.547.4514x662,False,XS
3819629,Jessica.Smith@maine.edu,Jessica.Smith,nation390,player,001-400-412-7401x330,True,M
9449582,Stephanie.Jones@maine.edu,Stephanie.Jones,very231,player,261.323.2805,False,XL
9697391,Selena.Jordan@maine.edu,Selena.Jordan,month636,player,3044124986,False,XS
4706412,Amy.Douglas@maine.edu,Amy.Douglas,range125,player,3299251980,True,XS
2429041,Jacob.Howard@maine.edu,Jacob.Howard,too453,player,8133123227,True,S
6641772,Jonathan.Buck@maine.edu,Jonathan.Buck,wait600,player,(391)700-3341x90047,False,XL
3700853,Michael.Ware@maine.edu,Michael.Ware,ok402,player,+1-536-941-1963x4323,True,M
7755894,Anthony.Yates@maine.edu,Anthony.Yates,then456,player,653-915-6035x3440,True,L
4954231,Dana.Gray@maine.edu,Dana.Gray,ahead105,player,230-453-2666,True,M
9670785,Allen.Zhang@maine.edu,Allen.Zhang,reach774,player,(485)645-7501,True,L
8343683,Gabriela.King@maine.edu,Gabriela.King,town231,player,379-986-4200x904,True,S
8640644,Katrina.Parker@maine.edu,Katrina.Parker,understand47,player,356-963-6048x97225,True,XS
9621644,Lisa.Washington@maine.edu,Lisa.Washington,best828,player,828-219-5477x109,False,M
6670478,Howard.Kelley@maine.edu,Howard.Kelley,paper213,player,+1-528-432-5483,True,M
9461903,Joshua.Price@maine.edu,Joshua.Price,wish566,player,356-712-9905x82527,True,XS
8421523,David.Sanchez@maine.edu,David.Sanchez,administration340,player,(345)779-2386x3981,False,XL
2912405,Andrea.Boyd@maine.edu,Andrea.Boyd,Democrat130,player,(321)347-0068,True,XL
1286293,Christopher.Johnson@maine.edu,Christopher.Johnson,travel506,player,636-530-5321,False,L
6793373,Valerie.Miller@maine.edu,Valerie.Miller,like654,player,(585)779-4690x7696,False,S
8036509,Tammy.Cruz@maine.edu,Tammy.Cruz,their826,player,836-370-4232x16202,True,S
3844261,Jacob.Miller@maine.edu,Jacob.Miller,study92,player,001-891-671-8942x56140,True,L
9244841,Kyle.Schmitt@maine.edu,Kyle.Schmitt,memory431,player,(707)303-7264,False,L
3213481,Amanda.Hernandez@maine.edu,Amanda.Hernandez,again211,player,+1-569-314-7111,True,XS
8358061,Emily.Eaton@maine.edu,Emily.Eaton,realize296,player,711.570.2850x48283,True,M
1796272,Brittany.Wyatt@maine.edu,Brittany.Wyatt,feeling18,player,001-413-851-1802x29553,False,XL
9361584,Robin.Rich@maine.edu,Robin.Rich,ago470,player,585.782.9459,True,XL
4520113,Ana.Macias@maine.edu,Ana.Macias,light608,player,001-781-835-2805x9203,True,L
3645619,Nancy.Harmon@maine.edu,Nancy.Harmon,by148,player,678.692.0054x2767,True,M
8923316,Jennifer.Lynch@maine.edu,Jennifer.Lynch,identify495,player,331-385-0222x9053,False,S
5476533,Kylie.Potter@maine.edu,Kylie.Potter,above113,player,312.230.4427,True,S
5030069,David.Taylor@maine.edu,David.Taylor,employee467,player,+1-907-758-3074x83185,True,XS
6820665,Kim.Mcintyre@maine.edu,Kim.Mcintyre,then150,player,001-972-830-2325x34403,False,XS
1040568,Christina.Edwards@maine.edu,Christina.Edwards,customer714,player,001-805-618-2844x6768,False,XL
7442617,Robert.Coleman@maine.edu,Robert.Coleman,agreement682,player,+1-686-992-6125,False,L
5552315,Travis.Schneider@maine.edu,Travis.Schneider,shake945,player,+1-436-341-7589x82632,False,XL
6017211,Matthew.Maldonado@maine.edu,Matthew.Maldonado,energy838,player,001-867-548-3805x8858,True,M
8921277,Daniel.Reilly@maine.edu,Daniel.Reilly,purpose880,player,+1-331-917-4445x0985,False,S
7020735,Jessica.Moore@maine.edu,Jessica.Moore,two394,player,828-825-1683,False,S
4870338,Amanda.Freeman@maine.edu,Amanda.Freeman,mind295,player,430-324-5048x041,False,XS
4622533,Victor.Martin@maine.edu,Victor.Martin,final801,player,+1-801-523-0618x5683,True,S
5253318,Valerie.Moore@maine.edu,Valerie.Moore,program438,player,+1-650-826-9993x550,True,S
6852805,Jacqueline.Moore@maine.edu,Jacqueline.Moore,edge578,player,001-201-357-4416,False,M
7559376,Maria.Young@maine.edu,Maria.Young,camera99,player,(855)895-9538,True,XS
5535953,Kimberly.Frazier@maine.edu,Kimberly.Frazier,course909,player,(747)801-4111x9942,False,XS
3674324,Samantha.Young@maine.edu,Samantha.Young,by275,player,001-466-361-6281x794,True,XS
6533333,Rebecca.Bell@maine.edu,Rebecca.Bell,whether326,player,6729444850,True,XS
8429789,Jimmy.Reynolds@maine.edu,Jimmy.Reynolds,institution304,player,(903)939-8217,True,S
4962527,Stephanie.Robinson@maine.edu,Stephanie.Robinson,campaign721,player,555.846.7485,True,XS
2281697,Michele.Whitney@maine.edu,Michele.Whitney,approach14,player,4403707234,False,XS
6133986,Lindsey.Rogers@maine.edu,Lindsey.Rogers,four534,player,809.803.3822x7879,False,XL
4354278,Donna.Patterson@maine.edu,Donna.Patterson,perhaps988,player,001-461-205-8351x04066,True,M
8239335,Rebecca.Schultz@maine.edu,Rebecca.Schultz,require247,player,(535)530-4216x3299,False,S
2781415,Valerie.Mcintyre@maine.edu,Valerie.Mcintyre,mouth647,player,001-930-864-0324x7296,True,L
7348457,Tanya.Cunningham@maine.edu,Tanya.Cunningham,find905,player,(603)860-1420x02255,True,XS
1704170,Kyle.Ball@maine.edu,Kyle.Ball,seem31,player,8834527231,False,S
6566123,Angela.Chase@maine.edu,Angela.Chase,central226,player,(308)968-1841x083,False,M
7948521,Hannah.Miller@maine.edu,Hannah.Miller,skill37,player,(572)557-9046,True,XL
9586926,Jennifer.Williams@maine.edu,Jennifer.Williams,wind270,player,564-732-2331,True,XS
3498224,Sarah.Hancock@maine.edu,Sarah.Hancock,traditional706,player,487-632-4531,True,S
4624624,Robert.Richardson@maine.edu,Robert.Richardson,catch660,player,791-677-9146x03112,False,XL
8345840,Jonathan.Mckay@maine.edu,Jonathan.Mckay,plan307,player,+1-996-459-3448x0294,True,S
6846710,Elizabeth.Long@maine.edu,Elizabeth.Long,high559,player,776.853.9831x2738,True,XL
7110904,Daniel.Smith@maine.edu,Daniel.Smith,light724,player,585-541-1253x8549,True,XS
2177272,Cindy.Jones@maine.edu,Cindy.Jones,large755,player,6622740218,False,XL
1429753,Jaime.Thomas@maine.edu,Jaime.Thomas,sometimes550,player,+1-404-710-1265x90459,True,L
8366329,Mary.Gilbert@maine.edu,Mary.Gilbert,director344,player,001-505-884-8807,True,S
1605885,Ronald.Patel@maine.edu,Ronald.Patel,social697,player,001-308-594-4245x7122,False,L
1904895,Ann.Rivera@maine.edu,Ann.Rivera,free206,player,2939977540,True,XL
8401152,Darlene.Ballard@maine.edu,Darlene.Ballard,family520,player,411.599.5779,True,XS
5333248,Anthony.Wade@maine.edu,Anthony.Wade,eat53,player,+1-725-765-5402x8172,True,XS
4579586,Stephen.Garcia@maine.edu,Stephen.Garcia,a504,player,+1-583-451-0327x942,True,XL
7983363,Kelly.Berry@maine.edu,Kelly.Berry,meeting971,player,868-322-2314,True,XL
3973380,Elizabeth.Rios@maine.edu,Elizabeth.Rios,several340,player,(717)454-3835x2910,False,XS
8782086,Catherine.Davenport@maine.edu,Catherine.Davenport,factor340,player,+1-432-899-6995x77442,True,L
3246348,Jean.Mitchell@maine.edu,Jean.Mitchell,level848,player,001-373-732-8471x897,False,S
7250195,Marissa.Hanson@maine.edu,Marissa.Hanson,class323,player,001-838-646-3211x64281,True,M
4616467,Catherine.Hernandez@maine.edu,Catherine.Hernandez,job175,player,(714)740-6824,True,S
